case_id,ego_kld,random,my_hypo,kld_sub
wash_cup,1.615,1.061,1.266,0.35
hold_golf_clubs,1.096,0.887,0.822,0.274
carry_snowboard,2.202,2.002,1.941,0.262
drag_suitcase,2.239,2.771,2.009,0.23
hold_snowboard,2.095,1.899,1.879,0.216
pour_bottle,0.888,0.969,0.672,0.215
sip_cup,0.969,0.776,0.761,0.208
sit_on_bicycle,1.367,1.17,1.171,0.196
cut_with_scissors,0.952,0.686,0.784,0.168
hold_badminton_racket,1.952,1.874,1.797,0.154
open_microwave,1.607,1.754,1.457,0.15
wash_knife,0.689,0.544,0.553,0.136
open_refrigerator,1.369,1.223,1.248,0.121
hold_baseball_bat,0.925,0.899,0.808,0.117
sit_on_bench,0.752,0.664,0.639,0.113
talk_on_cell_phone,1.034,0.853,0.931,0.103
write_pen,1.114,1.075,1.019,0.095
stick_knife,2.495,2.302,2.401,0.094
sit_on_skateboard,0.552,0.503,0.459,0.093
wash_bowl,0.872,0.727,0.787,0.085
catch_soccer_ball,0.245,0.237,0.163,0.082
look_out_binoculars,1.09,1.09,1.011,0.078
hold_tennis_racket,1.727,1.675,1.648,0.078
peel_orange,0.744,0.792,0.666,0.078
hold_hammer,1.168,1.014,1.091,0.077
hold_scissors,0.449,0.417,0.375,0.074
hold_bowl,0.603,0.459,0.534,0.068
open_bottle,0.826,1.002,0.759,0.067
hit_tennis_racket,3.536,3.35,3.469,0.067
cut_banana,0.616,0.564,0.556,0.06
hold_wine_glass,0.984,0.895,0.925,0.059
text_on_cell_phone,0.784,0.744,0.727,0.057
pick_up_skis,1.935,1.991,1.881,0.054
cut_with_knife,0.692,0.622,0.639,0.053
hold_skateboard,0.519,0.523,0.473,0.045
eat_hot_dog,0.289,0.328,0.249,0.039
sit_on_chair,0.836,0.789,0.799,0.038
drink_with_cup,0.942,1.009,0.907,0.036
sit_on_motorcycle,1.087,1.079,1.057,0.03
lie_on_couch,0.921,1.065,0.895,0.026
jump_snowboard,1.204,1.046,1.18,0.025
sit_on_surfboard,0.177,0.153,0.153,0.024
jump_skateboard,1.029,0.974,1.006,0.022
swing_badminton_racket,2.425,2.402,2.403,0.022
lie_on_bench,0.776,0.748,0.755,0.021
take_photo_cell_phone,0.433,0.371,0.418,0.015
cut_carrot,0.739,0.52,0.725,0.014
catch_frisbee,0.826,0.812,0.817,0.009
peel_apple,0.379,0.304,0.37,0.009
sip_wine_glass,1.536,1.561,1.529,0.007
hold_bottle,1.214,0.944,1.21,0.004
pour_wine_glass,1.029,1.015,1.026,0.003
carry_skateboard,0.479,0.447,0.476,0.003
stir_bowl,0.638,0.78,0.641,-0.003
swing_tennis_racket,2.425,2.437,2.43,-0.005
